34196 71447
6546 19090 4521
451 806 945
2174 27710 8005
620 19676 25903
4829 6546 5492
7524 11398 308
584 8327 828
712 32962 825
138 33818 383
148 373 543
68 2233 36989
3533 21794 334
7134 29908 1078
8388 10583 322
19629 30097 40
2174 15105 9137
1609 4498 1798
481 4985 2836
4136 5904 347
6938 6967 219
12914 12932 1580
1382 27698 190
577 6532 16149
68 3497 44625
68 20043 46866
663 9491 9954
19454 31771 81
1206 16753 274
604 8301 4726
212 14796 20839
2 24442 302
9474 19280 523
30612 31966 259
917 7184 29153
665 10495 874
207 3538 2919
867 1678 185
212 13597 18526
95 26986 1166
8705 9461 685
917 1379 39982
5110 30132 3171
136 5958 4519
9283 9715 294
577 8241 15945
16440 25880 44
68 2740 38652
1931 6611 259
2870 30650 433
13595 18786 81
5926 30322 489
4692 8328 92
481 2976 3161
78 1273 14205
917 13718 30466
1449 13584 19387
1609 2580 1473
577 7062 12325
2498 5376 35
10745 18386 292
1748 6304 182
2681 16425 762
8944 30285 526
8515 12055 116
1808 2020 4343
663 11314 11719
3984 6083 556
68 4354 35916
212 2047 23517
212 18366 20647
29934 30189 62
6676 8216 1992
917 1771 35459
6603 21082 339
10139 17101 81
212 30915 19847
23201 25871 227
2497 24918 68
3438 15594 6476
2159 4762 666
1146 13012 924
1395 8306 5159
8349 12213 1347
123 6452 317
604 2114 4286
3337 9231 204
1174 9102 20
24 512 10829
2817 7469 2291
9545 31960 82
557 2145 1497
23374 25162 130
917 18224 28801
728 7751 1117
91 101 81
3452 5073 1528
604 14508 3622
9941 13971 393
5544 8582 519
1731 11543 6252
6966 12021 399
2408 5493 1334
551 2841 927
11627 26659 133
6966 21104 319
3302 20253 75
212 5353 18733
8481 15581 73
6676 27069 1480
804 7014 36
78 8674 7598
18377 28178 87
1731 10489 7190
6546 27700 5768
1072 2095 187
3607 6802 177
620 632 24847
663 31248 9657
4928 21072 41
20635 26927 266
5779 7753 265
1273 3612 9332
1933 22170 278
2135 8294 152
780 2306 4726
6696 12256 59
78 4983 8054
620 7758 32559
620 20217 30761
917 1530 37696
136 2741 5104
5312 6481 98
6459 23101 62
1468 5231 10699
68 14092 37311
620 9073 29957
119 2188 571
604 6712 3716
620 4117 31059
136 3018 4724
27386 27605 1923
24478 24835 395
4695 27796 51
68 11857 43936
452 2806 339
780 928 3841
512 16303 16100
728 2542 1585
2050 15360 76
1271 2297 6221
496 7483 1699
595 10872 823
13103 31430 1435
2174 17563 8411
917 1978 40239
3758 10717 163
951 16362 2443
1449 13013 17076
620 1113 38012
14456 22878 219
1701 14285 236
1288 19881 616
64 123 276
2593 20327 1625
68 618 33054
68 33879 37013
917 2364 32683
286 9935 697
9494 32755 70
917 11893 31164
1991 9727 134
1468 8614 9481
68 1355 41308
512 22800 13663
919 20385 2958
1807 10114 1996
9763 12373 72
3438 22565 7120
12377 17137 216
620 17160 31741
1449 12150 19447
914 2455 403
3067 5956 98
1026 28357 557
3032 5102 1359
1273 1287 12274
29870 31726 391
136 6159 5129
20565 24961 117
3970 10200 189
11930 12213 975
19421 30999 184
1288 12694 568
68 7896 32160
9768 9828 1358
6655 8483 2572
2174 14479 9584
9571 31882 1292
620 12486 31262
13801 22512 937
620 6625 35039
19510 30015 413
212 9256 23741
4380 30238 1095
12073 13787 636
1746 9104 246
12932 13197 1759
212 20794 18425
1449 25605 15614
656 24819 3942
12321 27278 64
2145 21218 267
1019 17592 689
68 10493 40510
5565 5573 44
4740 12204 1179
1104 15863 2205
2068 28991 231
1100 10593 359
10970 11156 125
917 7932 32557
30722 31595 422
15413 27874 96
6807 27847 71
68 33026 44968
131 15277 494
3200 31756 275
8285 17061 867
123 3891 379
3438 21887 5247
4164 31574 175
481 19953 3551
19136 30148 1175
19452 32790 429
3591 22429 1491
915 21695 778
7736 29811 1023
8436 10762 107
212 20094 20597
4259 12625 88
604 8230 3457
3790 11283 160
3513 17375 313
68 12072 45974
1808 26644 3024
1731 11443 7748
1104 19062 1925
16008 27400 278
917 15901 31336
18368 26654 1867
3659 8479 281
620 14626 29464
1582 2397 1521
3438 14945 6474
951 8102 2279
6546 22253 5900
3038 12655 496
15179 17428 439
136 8727 4149
3079 16549 203
68 11315 39353
1084 12329 90
68 8905 37050
917 11226 34113
14185 20503 178
1605 1611 1152
17061 19037 690
919 5714 3324
915 16185 949
68 926 42383
68 12591 35032
16850 16875 246
620 5159 26251
917 10104 37478
3644 15529 1475
68 280 47579
9446 30703 331
1731 33836 7404
68 33457 35421
68 12987 45500
13265 20449 198
1605 5759 971
6408 33695 1211
11285 33615 1455
25013 25020 742
13642 18788 49
577 3722 15951
2219 17547 721
68 29243 35333
3179 6741 2170
663 23039 10483
1502 6042 184
13012 15877 898
871 16306 2530
1367 15061 5013
19493 29960 147
68 23210 41718
1271 2165 4783
2904 5298 253
4812 28185 281
68 5985 33777
901 2571 904
8768 31857 55
915 23864 797
206 10663 494
2299 2640 1452
12958 33083 86
3448 17592 616
12580 15332 136
552 17592 5639
23384 24498 357
7134 31989 837
68 28680 44697
11912 17777 125
2174 15239 7896
604 2180 4336
6408 34011 1256
6592 33035 65
68 6106 41269
20975 22048 123
262 5511 313
3438 16086 6365
656 24303 3612
512 6906 15084
2614 21554 594
2297 2643 749
943 16163 511
1367 8166 4578
1605 1659 1215
2811 33320 778
29908 30075 183
3250 5182 209
19224 19594 56
917 3889 32860
212 214 22271
16185 21611 416
576 27541 1121
19422 32069 329
16351 16406 473
9571 31721 1097
609 11947 452
31500 31505 52
25292 25861 36
212 29113 21255
1449 2640 20760
68 13993 40354
29943 30082 93
32039 32302 75
1609 25721 1308
4660 12120 322
3438 6809 6934
5305 12665 98
16172 20524 519
10806 18731 136
604 26916 4117
1104 11780 2045
6967 10546 196
538 3534 96
620 12709 26342
5744 25355 279
2161 28863 223
30706 31430 111
495 4898 327
512 2486 14743
6158 32022 128
6676 20936 2178
6930 13682 126
5926 7373 1434
576 26840 1438
577 10066 15495
1449 14129 15612
6335 8931 524
3438 11777 6497
921 2500 238
22920 27263 52
16425 21571 788
10131 26897 46
68 10749 39385
9741 17383 104
212 22267 19061
6699 21256 515
68 4835 43814
1273 4376 8491
3805 15026 721
1449 19678 19516
512 21472 11800
597 29211 649
5096 16788 122
19269 32157 35
18368 26767 2316
1003 2927 893
68 6147 42204
938 13543 538
19590 31888 18
917 8542 36663
22388 28388 56
1271 1468 15771
431 1323 629
577 12932 13130
212 7600 18988
2305 2440 84
68 4964 42903
10634 13215 87
212 21535 23920
2364 24082 5631
68 18918 45170
1578 13246 69
1449 25461 20174
212 1722 18418
620 8717 27263
29993 30594 68
8005 25267 206
620 6198 33116
620 3762 32908
604 15037 3984
17317 27371 189
7475 11098 85
552 1901 4506
919 5558 2364
16896 20724 451
917 20169 34757
1731 3382 7452
15152 17171 456
2397 16430 575
917 13927 32711
25013 25847 1033
4984 9458 471
780 32556 3544
460 11564 498
2532 21460 267
943 7879 590
577 1434 14623
1468 1609 11236
4374 13296 263
21580 25484 1615
5417 21689 303
917 12733 32124
19510 30432 617
1273 9036 11904
1449 30158 19109
3452 29305 195
1728 19155 130
604 11664 3084
17331 28737 322
2174 17539 7730
951 16346 2743
6546 14071 6088
604 1876 3872
4265 7444 127
16244 21696 143
1395 4676 4353
17802 27366 123
620 1093 30340
12204 12213 2293
136 3138 4623
4550 10415 556
1273 16635 8776
9817 10690 3163
28301 28773 68
917 29336 34795
30129 32690 508
356 26917 450
207 10842 3703
68 4656 39386
942 5110 4195
917 7036 30400
4867 18317 386
212 16118 20573
917 1263 31062
1374 3712 2025
495 917 30466
3753 27045 146
68 22314 42417
665 14119 768
13776 23883 2307
20631 21857 1669
3941 9255 444
917 4913 34287
212 16446 26007
19533 30800 350
24662 25484 427
1273 33664 8474
207 13354 2815
9151 11481 101
1468 6199 9626
512 8086 13812
552 27170 4202
2189 9902 2781
3644 8252 1579
8705 31268 769
4394 31211 518
68 30020 47380
9678 31676 1016
15209 15954 42
1931 27104 305
1273 31441 11967
15300 28258 185
1468 9054 8289
9887 13805 303
557 795 2861
2364 16174 6490
9571 19536 1245
78 5152 7612
21568 21753 129
2736 29869 1227
18368 26126 2683
6741 24547 2028
1605 5670 1047
14879 21905 94
6130 6298 41
1214 1741 289
1325 11765 930
1616 16225 911
12233 17669 106
3591 26534 1940
1449 14000 16602
10094 15102 1035
919 11053 3063
2551 24128 201
68 29648 35304
16906 27552 368
17967 18525 464
6967 22167 163
1449 5680 15786
1537 32009 388
2452 5575 99
358 6882 1129
577 15177 13525
1239 7330 1531
7790 8001 186
799 8390 146
917 1109 28660
11253 16790 184
22061 33057 279
4554 8595 159
1688 6741 3348
2174 22806 8515
656 4498 3800
5334 23111 63
9824 10520 251
2494 5766 215
917 2172 40511
1449 2020 17075
4084 5025 242
512 1561 12426
2932 9640 542
16864 17789 45
620 17197 36363
7975 8021 116
23114 33342 82
6546 20762 4462
230 7488 122
7736 19105 1022
2811 7462 925
951 20488 2199
2042 13772 736
196 11385 1623
460 5168 504
451 10768 745
13241 16365 37
917 12085 31072
2371 13562 176
12120 14729 651
577 18339 11498
1583 2632 1054
21501 24164 233
1440 15150 427
1477 13103 1783
620 2721 25431
6655 22134 1749
917 29947 33693
16927 18689 155
9902 18179 1527
1273 3841 11443
26125 28523 218
186 917 32311
2079 21857 1280
753 6971 92
609 29760 448
917 13776 41611
6546 13742 4279
425 9734 301
31829 32867 35
68 3064 42338
68 15239 37928
3473 6682 750
917 17711 39579
68 27329 35834
6546 17682 5958
577 14834 15929
68 11701 42733
512 2414 14586
16351 20615 326
917 939 30938
1273 11333 8900
577 9954 13226
620 29013 28057
22821 28989 1325
577 7474 12472
620 27060 33431
14729 18953 305
68 1926 39060
917 25064 31849
1273 2971 11551
1468 4281 7322
4880 11625 237
2364 24686 6622
917 8085 32420
2159 18714 712
68 2333 44408
13333 23384 464
19479 30279 75
2614 25468 682
9017 9248 130
255 1471 2564
9828 9865 1809
656 19951 3604
871 23963 2733
68 27734 35146
899 2583 99
9474 19422 975
1073 26395 334
1559 12732 585
1068 12824 1959
1100 10917 372
620 29369 26020
9902 22879 1982
912 13277 2759
6676 15217 2541
1273 6001 10740
1468 7264 9535
18368 18992 2093
917 3871 39116
5110 30269 3762
5085 7078 107
1273 12151 9870
609 28253 423
577 20711 12513
2619 8141 86
917 24487 30084
1468 5131 8951
4664 21425 615
136 8887 4362
512 25298 10622
3418 4721 559
16351 24730 406
2385 20327 1670
1271 6745 4631
1808 6670 3307
9867 27288 104
212 25013 20818
791 16780 2490
2306 5650 1959
68 10374 43595
1449 15029 17019
1468 28056 9344
3784 22420 463
1731 20011 5942
3505 17221 2100
196 390 2754
68 27191 39671
373 6751 1396
290 919 2496
552 12145 3902
917 1860 35567
1619 10568 2698
20970 29645 68
1239 19973 1478
917 10614 34944
620 1012 31503
212 22250 24427
1146 13126 440
423 3810 121
9912 16742 284
2174 18970 8145
360 4685 978
3438 8247 6726
512 21450 11787
917 16873 35464
917 14309 29857
19478 29861 427
2123 18726 1199
12932 16132 1468
3970 20016 172
68 18459 46326
4398 10949 192
286 577 17355
212 1418 17949
4680 8287 100
609 22771 343
795 32222 1823
665 2828 1049
12105 14944 326
21556 23914 78
2811 5066 1178
917 26265 37804
21195 29816 355
512 870 12912
2174 27170 8280
778 3084 1402
3192 4313 103
9828 28786 1530
68 4941 39513
68 647 40049
577 14220 13450
1085 2174 7325
14698 18355 568
1113 16017 1379
68 20241 35253
212 15106 26311
12037 13801 922
7520 9056 123
3828 19933 356
1468 2756 8992
1056 17277 488
577 12057 11621
196 6741 3214
3675 7533 2533
10154 26646 191
2186 9746 41
10701 27715 242
7469 23259 2455
917 1602 29131
20327 23995 1431
1271 17891 5368
1468 33260 9495
2216 18297 464
608 20753 1962
1471 3886 2405
286 18002 761
620 34085 28704
620 11526 30011
6655 17281 2043
9902 15861 2109
212 27345 21754
577 17274 15843
5926 9621 609
3505 9814 2410
623 25396 87
10568 33112 1641
31315 32137 95
10782 15180 71
1214 2927 886
917 27133 31710
1352 17691 816
776 1582 1525
2020 2178 1478
620 33399 25852
207 5493 3107
9926 17788 81
620 12888 32211
68 1136 34087
11954 17721 139
1039 27261 85
136 12755 5213
6546 17939 4857
663 4425 12244
4721 22000 570
1731 7662 6963
548 11983 528
3011 16780 2577
3625 10654 365
4984 29863 548
2020 27605 2609
262 1613 744
9885 17837 134
15037 29335 489
3038 6361 1457
5181 34169 182
604 26258 4148
8992 12519 155
2593 5522 164
1123 4166 1270
30301 32257 150
4636 6546 6341
13470 25484 425
161 1239 1743
620 28633 29381
19372 32162 46
917 6197 32317
13652 14427 39
275 9008 42
512 5612 14342
609 17914 377
620 5059 26175
577 10681 11518
620 27683 26319
303 5926 509
2581 8039 535
620 13724 30755
12082 18226 245
16360 21498 243
1825 9954 617
2889 6361 666
620 6356 30387
68 10457 46736
620 1497 34414
512 14605 13142
552 20947 4498
447 1273 10543
366 513 483
22611 29887 77
10094 21273 818
141 1239 2036
608 26175 2649
68 11631 34088
917 11541 32225
109 6894 853
9980 15230 184
577 4905 15300
212 18325 18382
212 3533 24736
512 8602 14146
552 620 33380
1576 12772 209
1731 11121 6291
1880 26670 2467
1449 33319 18127
2174 26915 9321
1239 24195 1678
1325 16976 726
196 7304 1842
6051 11243 82
620 998 32522
643 917 29641
68 4690 39808
6874 27477 185
917 7074 37078
21535 21579 787
25426 25940 43
917 16762 37962
917 27294 35737
2174 15129 9729
20408 25834 321
1867 10712 928
942 8953 1714
9976 11944 42
871 21747 2276
137 29077 823
1468 19966 9721
1663 2570 309
13454 23408 43
620 7245 27054
912 23970 3082
11983 12413 873
1235 7377 368
663 31080 11508
8314 29472 149
969 1468 8562
577 16656 16043
5977 22690 1303
2196 29251 171
8705 9500 1141
15788 26985 132
358 4878 1107
1731 23023 5367
68 20141 40614
2589 23654 182
68 5185 44648
17671 22838 55
6820 22436 104
165 722 1248
168 176 500
212 27123 23992
7589 32148 1099
15822 28096 79
1271 21561 6621
2063 11591 200
17261 27457 128
13544 20593 317
620 26689 26308
577 21009 12198
7339 33773 81
663 7602 9831
15207 28349 149
212 1023 23504
319 6395 427
10812 14747 334
1726 34167 69
68 10301 44539
608 26228 2119
19622 31878 42
2306 5559 1535
12204 27290 1169
1479 4213 53
19618 29996 757
17605 18702 120
5146 5678 758
2190 22851 566
951 24277 2954
577 656 18879
5788 23351 551
7213 9518 187
5110 30828 2764
620 6537 35685
13807 18525 437
512 1292 15092
19436 30625 84
4867 22799 326
620 3113 25959
3578 13150 324
78 16592 8080
4346 5943 326
32986 33085 31
474 16298 659
14302 16780 2533
917 12973 31920
22731 31627 76
2364 24670 4940
12224 17630 89
512 4958 14438
212 594 18453
19533 22725 321
917 27337 27846
1273 31743 11130
6021 12449 136
512 1583 16565
12204 26510 881
18172 18368 2207
18357 18368 1914
137 5431 716
917 6891 36315
1808 15911 3451
1595 2299 1167
7963 16443 758
6741 12932 3040
1273 16819 11589
951 16338 3035
2189 22897 900
136 28440 5651
1901 6591 257
68 9842 45910
212 9999 24752
358 2131 1539
5066 10448 436
577 10424 13565
1956 10922 100
321 12099 398
3641 10764 191
5439 24992 426
212 18984 21154
5073 11053 1508
620 11900 27292
8313 18400 767
18572 26568 70
8931 9069 597
78 3314 7386
656 13327 3806
19550 31317 285
1808 17587 2667
68 22539 33856
3079 12784 183
577 23097 12282
2011 21791 827
1807 27919 1958
2593 20602 182
919 5461 2480
68 27838 38712
3819 4742 417
15959 17531 77
3445 22298 172
9369 31991 92
9274 9455 257
9451 30306 234
1934 29034 422
78 1318 7858
15392 17463 41
19452 30798 314
212 6676 24414
4740 8349 152
1731 14239 6403
6741 13390 2048
663 30037 8372
620 8758 26150
10835 11954 182
136 12554 4886
1449 1461 18772
9740 18494 502
917 12625 31225
620 2813 26260
1605 5507 1272
9476 31005 33
1731 19991 5688
1926 22458 1001
2174 21042 10033
1619 13930 976
68 27170 33217
212 389 22043
5409 21563 1240
9678 30570 980
21256 27982 418
1273 12639 8979
21493 25006 142
1808 15564 3735
400 2580 2200
546 8434 773
2219 18799 991
2351 13493 325
1449 20407 18370
3390 15852 231
7818 23315 299
13124 13134 81
19158 31550 675
780 955 4691
1273 9078 9805
1468 14288 7391
2285 16336 168
1449 9208 19424
1395 14543 5985
604 11704 3824
26648 28122 79
2904 2927 876
3675 4512 4081
286 27485 577
9715 19565 436
68 33659 35607
24064 25357 34
19533 30196 342
1273 3142 10372
780 1808 5314
3299 16650 501
551 17249 485
1309 23162 398
1993 18959 499
390 1663 1407
7919 25450 904
212 2668 23629
795 30898 2171
3182 16629 255
212 33979 21986
620 7117 28993
19395 31172 54
1182 6664 51
212 8887 26204
13530 20570 114
121 4498 2164
390 871 4723
1084 16974 104
306 2207 191
512 7993 14591
68 107 43328
19240 19313 214
620 20010 26438
68 21481 37262
2736 3675 3044
4984 30487 570
6769 17354 243
1395 28016 5637
212 4265 25331
2255 3740 742
19496 30014 1316
13977 14464 87
1014 6894 505
1084 9902 1837
917 33256 36493
3644 15752 1436
68 2909 46400
917 30282 33436
6655 17261 2066
68 14143 36437
620 1727 25540
577 7327 14154
1271 1972 7566
68 20646 36230
30734 32641 37
451 5206 948
1068 4822 1850
1273 2835 11510
3038 23243 592
13634 29404 63
3473 27176 747
78 1771 6916
204 26390 853
9683 22592 964
68 14245 45529
919 2395 3427
22592 30265 910
68 23190 43098
1395 29327 6079
19482 32300 58
31053 32632 58
620 7170 31950
3756 29575 103
19158 30669 677
1605 21300 1046
620 15969 35579
12437 18390 63
11035 15126 57
8479 14927 292
78 19800 7683
9479 9581 463
16185 23638 566
358 29350 1054
121 19951 1857
604 12317 4210
620 12161 29731
3675 5055 2234
1468 4992 8737
4061 23015 252
495 20790 344
917 18969 35771
20552 23735 131
22592 30914 742
10738 13801 990
998 3317 368
3339 4993 355
68 3953 42170
14517 27867 391
30342 31696 117
928 1613 746
68 12608 34017
20094 23404 219
1395 22932 5239
512 2329 15095
2174 8548 7749
1993 18211 638
1558 9115 281
2479 20377 209
3355 16780 1767
656 20510 4036
212 18300 24958
512 8577 10886
696 12812 47
212 15709 23728
13431 24796 229
917 4202 40273
9685 19136 1025
19478 32263 494
1068 2437 1446
1021 6707 597
917 12883 36293
1395 1999 5043
2971 20110 268
576 12382 1172
1035 12278 198
663 11548 9850
1471 6492 2372
2045 3580 732
6987 10267 134
1395 10732 4408
3438 10563 5623
663 23057 11485
1322 25977 128
1449 16637 17263
4978 16921 103
512 3959 13317
649 1273 10084
3904 8826 504
551 1273 10278
1271 13283 5750
4310 4550 684
18368 28516 2689
6544 15179 462
620 29294 26101
5145 6484 341
20419 20429 692
1731 2841 5674
917 25990 28429
919 5007 2799
8443 22325 140
137 1046 981
917 2272 39049
1731 11499 7049
672 7604 231
656 26381 3692
212 8764 18947
20408 25210 355
78 2364 11350
9643 9653 108
6966 18525 740
15465 19069 49
8479 26931 220
2820 19150 888
11046 11068 66
1609 2581 1912
68 17777 46619
1468 6333 7511
843 8073 407
917 33162 27590
25618 25872 45
1273 7346 10984
3799 9793 332
19345 31088 71
136 2706 4884
552 3390 4436
1792 9516 870
15941 17592 719
6655 17132 1850
17699 26623 155
10148 12438 301
5628 5640 1661
298 620 33753
29968 30277 120
3438 6823 6376
11164 12794 68
3084 20469 1411
10690 17379 2360
917 11385 33123
1309 4154 482
17492 20724 448
577 3798 13302
917 20458 38002
512 7435 13848
656 925 4318
286 10687 713
300 15046 180
573 12305 194
3921 9659 184
7367 33972 62
917 16790 29476
21580 24626 1239
1731 5027 5895
3941 8833 465
584 4718 728
1468 23170 9232
212 3722 23659
6546 6835 4763
951 5007 2841
620 23021 35604
577 13739 15935
19252 30744 184
195 16275 540
5180 12601 56
137 9144 882
3438 29720 7406
2364 20408 5313
9064 11341 179
2174 6567 8266
212 2584 18834
9436 19564 83
12433 18593 135
3182 16577 238
620 7043 36432
1271 7295 5815
1926 11708 823
19597 32613 19
419 5312 163
68 21042 34207
9571 32651 1131
68 20166 44895
33081 33142 93
6546 15757 4489
534 557 891
212 10118 20398
7808 25027 84
68 7482 35169
917 14729 36080
3578 12413 1014
604 12171 3975
1731 14224 6101
620 11161 34138
212 13813 22937
1068 2178 2209
4953 27605 1933
68 33287 34635
15405 26304 269
8557 21846 140
1775 3856 311
2062 28782 99
600 27663 115
663 31630 8198
13305 21570 108
7469 19806 2294
10690 18521 2423
2174 26394 9693
917 13954 28717
54 2764 295
620 4118 33332
1600 1604 73
481 14324 3116
1919 29024 80
1656 7880 501
1449 24754 19319
6892 8245 942
5250 7508 399
212 4691 21201
78 33377 7123
734 1468 7392
758 3904 386
400 12489 1843
620 9153 35586
728 23404 1604
2174 17566 9377
1688 22694 1005
3647 28134 597
400 25721 2038
204 604 5223
1367 9099 4853
663 11787 11949
1926 6554 722
1273 19454 10391
1117 2031 78
68 620 64421
3505 12617 2367
68 12014 42026
577 12618 16114
912 23836 2692
1104 14891 2027
2306 2470 1647
1771 2820 1795
1656 8380 561
1449 6928 16617
3438 12008 6513
136 1222 4275
3784 27138 446
68 1359 36370
795 32348 2088
1468 7044 7719
1449 3505 20463
78 7164 6135
6728 26846 74
5977 19246 1654
30752 31331 50
6395 19431 216
18692 26020 41
6477 9412 160
8871 14204 230
4504 7736 1100
917 9910 32882
1019 4636 133
608 17718 1880
558 917 32979
1449 4812 15168
2333 24565 316
8357 17933 345
136 16172 4934
593 12098 1291
938 16393 599
620 3827 29049
100 1613 756
4664 15017 607
620 1440 31121
36 620 36451
943 13389 571
68 2889 33746
7040 9091 29
212 15217 24408
552 15710 4151
15911 26352 44
32956 33096 92
14371 17592 550
68 6700 44439
620 26909 33059
620 11326 27831
212 1902 24635
917 6588 31996
2205 26910 119
212 10651 25077
1221 19964 117
620 2956 28487
9907 13175 231
917 5439 35158
795 22765 1712
2174 16109 9554
608 14628 2065
5266 16780 2477
917 2039 31768
68 9247 42733
620 4300 36921
719 10801 502
912 4092 2293
68 23167 40622
1449 14032 20573
13892 28923 24
2297 23936 1076
68 29661 37800
68 3421 44825
6546 6705 5357
3265 6995 202
30606 30934 106
13012 19951 961
68 26156 41416
620 30659 31162
912 7883 2804
19136 31735 1114
1449 11447 19602
631 1731 7139
1926 17946 969
2122 3798 1477
22821 27333 1472
899 4600 828
390 902 1751
68 508 42013
204 10065 1136
877 2542 940
68 26522 41514
917 18512 30210
6643 18440 109
2255 15565 692
10647 15037 1076
207 12113 2392
604 15828 4526
4994 11285 1561
68 20088 33075
917 22279 37745
897 1609 1924
207 21186 2231
212 2776 25614
998 6741 2897
3438 22386 6893
12438 26543 279
1380 17140 308
6658 8323 126
3438 17280 6967
7469 16687 2596
68 6384 40942
1273 5981 9000
663 29817 8525
577 18368 17746
2614 20355 598
68 10204 36531
620 20126 30410
13801 17493 992
912 24323 3236
22609 30980 158
136 701 5556
1487 19994 123
212 14105 17808
1260 1273 9443
780 18923 3052
9902 12080 1955
915 25651 601
552 21052 4887
747 3084 1493
9916 19998 489
7919 23884 1000
1271 12929 4575
642 1471 2033
212 1066 18435
1367 16143 4799
212 27435 17840
1468 16716 8963
917 34131 33700
29569 29649 117
2374 16241 71
1582 1715 2167
3805 14572 889
908 939 211
1449 4185 21007
68 28406 40259
573 577 12588
912 7938 2843
23850 25759 121
1261 6382 53
19478 31389 525
5531 25823 38
1771 31545 1112
6546 26074 5248
917 10585 31290
115 3474 192
136 14229 5055
9571 31165 1066
1146 13086 443
620 11798 24824
4600 10022 904
577 845 13150
795 30710 2106
1731 11480 5323
780 944 3620
17999 18381 199
8479 8562 304
9556 30014 1198
1256 1449 16198
262 5513 354
312 6751 1450
22621 30848 59
512 10344 14367
577 6653 12031
663 32436 9315
1449 20733 20372
917 3510 29126
68 27748 38560
5744 24919 321
1449 3360 21289
5717 13326 382
206 9857 574
4642 12038 33
136 2306 7455
21211 21256 360
576 20714 1257
8388 9902 2262
21472 23542 805
552 11634 5015
1775 20221 336
5385 20308 442
2076 10022 246
3438 18847 6624
3038 4183 532
165 6119 937
212 7919 25563
3591 21800 1747
7919 21497 994
1449 22334 16828
917 30053 38156
24070 24357 64
5744 24227 313
663 3920 11603
68 11449 33921
3188 16623 91
68 9071 36073
21317 29015 41
68 6567 34453
2020 16645 766
212 20647 25145
620 12713 27095
1610 21550 205
2174 17088 8979
1352 10029 850
577 1369 16876
4264 7469 2612
147 7377 348
12407 17875 113
22825 26265 115
15113 27605 2093
12408 14587 307
8402 9902 1753
912 16425 3244
1271 2216 5214
1880 17209 2161
136 282 5536
616 1323 495
577 19028 14292
14047 17911 108
917 1889 30913
8413 13700 395
9500 32572 375
1273 10307 10523
1449 33423 16617
365 919 3555
16641 17225 55
3438 15727 6161
16906 18725 437
400 1665 1878
5904 22576 322
481 8623 2620
912 25831 2437
68 11929 34364
1468 3155 7313
1056 2174 8981
2174 17699 10148
2364 25825 6415
647 23614 667
12530 20004 316
12212 22821 1222
9526 30419 710
942 16361 1174
212 27928 21704
212 14975 24848
8413 26977 261
3591 10122 1952
7300 30104 524
917 26288 31857
512 894 15155
11285 27999 1431
945 13245 245
19123 31521 194
12204 13862 804
934 24800 353
10801 24195 266
20327 21451 1189
212 2706 18548
187 577 16206
68 26776 47063
136 8612 4889
780 2286 2998
512 15483 15281
10690 26036 3064
10568 12901 1790
9824 14476 243
20355 23410 135
3910 6408 1049
12548 20503 198
21522 23355 872
1867 14693 750
663 1537 10827
19323 22734 104
4842 8423 117
620 19005 33984
1369 29386 399
780 32558 3654
16906 29288 547
1107 26357 334
573 2174 8229
496 2174 9993
2364 13458 6166
7300 9697 449
663 811 11203
917 7854 28665
197 18918 204
871 21300 3262
68 16711 46016
877 24155 414
552 14717 4793
11979 22523 212
319 19431 350
6751 6894 1524
212 1195 18136
15499 27438 46
13957 15179 361
6546 15390 5865
68 9599 44806
212 9758 24866
3644 14886 1347
212 2368 23030
1867 1944 1022
338 2736 1123
1449 33555 16073
265 3211 512
21579 23758 512
620 14554 28406
1808 14760 3209
3832 13272 1330
2820 7533 1136
5977 31751 1342
6252 13197 936
15312 19082 181
3712 12059 1656
6546 14482 4996
1487 10448 444
620 3811 25073
5065 19678 34
1449 11052 19605
22746 32489 34
212 17778 17931
1041 17801 138
9712 30486 651
512 5637 11150
1778 20196 416
32956 33077 110
68 10139 45432
620 20084 28783
13416 16303 188
78 3871 6595
10654 17831 421
9133 33779 77
212 27090 20078
2614 21568 590
620 8900 36924
3748 6572 437
6351 33691 89
7806 21748 220
18221 18973 188
212 10624 23953
5242 11081 146
1749 13776 1699
663 29915 9075
3980 34094 521
1234 1731 6169
620 10197 31345
9030 10197 244
917 5413 30639
620 7703 32833
3644 8387 1098
3556 18954 102
871 13578 2704
12430 22883 366
2231 6772 293
68 18175 37695
265 13698 426
2956 19681 250
959 2487 625
13017 13091 398
18594 26195 127
3575 14595 178
2223 11744 903
6363 11285 1629
512 2737 12307
2190 11647 687
2306 2505 2076
642 2927 719
2932 5926 834
1146 13007 396
212 557 19441
212 16172 19835
68 33749 42283
2927 6275 1102
68 26502 40666
512 25601 11130
577 14009 12925
212 11111 21579
9895 12258 75
665 917 34023
12413 21958 832
10149 14999 112
11693 21857 1683
10575 17381 64
212 22519 20176
27264 28242 40
68 1219 41340
2364 12868 4683
204 21260 1042
983 9098 106
7818 16164 416
14909 17254 103
2364 23980 4563
5439 20568 419
14503 26387 234
1880 1986 2781
6042 9676 50
1468 25456 7222
212 1616 23560
7026 7469 2075
11744 28611 869
1026 21829 552
1367 11744 4597
1239 5331 1534
23682 23936 98
11945 26446 135
9828 13909 1580
93 332 113
608 17903 2137
192 7957 1401
656 2581 4482
5628 20424 1497
9940 29590 115
582 18054 1025
620 1547 26756
656 6285 2930
1880 18457 2197
196 3194 1698
5857 12469 131
24646 25484 424
